nft_address,block,from_addr,to_addr,token_id,tx_hash,value,timestamp,usd_value,eth_value,exchange,txn_hash_idx
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792544,0x23e898da5f9b3ec081a45d0504768f3499840535,0x7a70536c4d695b1ec9df972e91461e834bfb00e8,3219,0x57cd9bea932a41ac6cf90f3dc0932a62f252e395bb3f1ab4dee8dd2f6d85cd82,0.17,1639341298,708.44,0.17,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792544,0x0000000000000000000000000000000000000000,0x477a85249125cdf871225cf9b2cda745882288b0,5255,0x7cbccc591fdce09a7fd062109406e744d604349cdd77042db9399eea7693cfe4,0.2,1639341298,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792544,0x0000000000000000000000000000000000000000,0x477a85249125cdf871225cf9b2cda745882288b0,5256,0x7cbccc591fdce09a7fd062109406e744d604349cdd77042db9399eea7693cfe4,0.2,1639341298,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792544,0x65a5dae5ef5a6b4715960ac59baf04c596ef0106,0x732931625690e4b726bf28946ce4539c2afaea8e,1295,0xa3e79cb0aa3cd2e1360745099beeecc11d72cb682de93d5e8503894bd29bddfd,0.17,1639341298,708.44,0.17,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792590,0x875da19649d70286b638559c2707c6188738edb4,0xb176838fabc11db9158e8474a21061472216eee8,5089,0xa37eb65144ebd7185fe863c8f8c781b81070e4726afc4ff8ed4eb67c78f98492,0.17,1639341913,706.15,0.17,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792645,0xe428bf4d1d4ac2c1314e67e8610c83511f7a8f6b,0x54489a3d085b1501573651095a3138f8cf207730,2230,0x36f172ffbeef152e3ce17ef39c30ca7e9d28fd048477184526b4360d3ab48f19,0.175,1639342567,726.92,0.175,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792646,0x809e82136239a5f26596bd6ce9192207bdffa04c,0x44cd6c3550fa47db39fbf8c7d3708833516500ba,486,0x1e8e79ee103dbad27db8457c2da3459cc93c339877f6f916e869e6f4d50b768d,0.175,1639342599,726.92,0.175,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792549,0x0000000000000000000000000000000000000000,0xed727248627fda303a1794f5da747215b6314330,5257,0x6587537dece2a625da263adf4b5b8dc41e62fa1b6c25c6be1e77a13b6543917f,0.2,1639341361,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792549,0x0000000000000000000000000000000000000000,0xed727248627fda303a1794f5da747215b6314330,5258,0x6587537dece2a625da263adf4b5b8dc41e62fa1b6c25c6be1e77a13b6543917f,0.2,1639341361,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792592,0x0000000000000000000000000000000000000000,0x458aa8eb5d673d6f9bae964af2c25d64f4a19878,5261,0xa2ea84e61df95281e74f6d73fe6e090408970a0e2f190f9373c729f0f3edc683,0.2,1639341940,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792592,0x0000000000000000000000000000000000000000,0x458aa8eb5d673d6f9bae964af2c25d64f4a19878,5262,0xa2ea84e61df95281e74f6d73fe6e090408970a0e2f190f9373c729f0f3edc683,0.2,1639341940,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792592,0x0000000000000000000000000000000000000000,0x54e9ad1d7c15a581575c727c68888d19d71496b1,5263,0xb950d0977770df1e493a2ee9283169497280c9990866c5a7de5327251f177645,0.2,1639341940,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792592,0x0000000000000000000000000000000000000000,0x54e9ad1d7c15a581575c727c68888d19d71496b1,5264,0xb950d0977770df1e493a2ee9283169497280c9990866c5a7de5327251f177645,0.2,1639341940,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792593,0x875da19649d70286b638559c2707c6188738edb4,0x488d3819cea6020ae2d9c019bd8d539f68974d40,5090,0x2df930cbcf8083732be9f50fe10de92eb40bf479180d9c1500bde28a3be213b0,0.17,1639341964,706.15,0.17,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792595,0x0000000000000000000000000000000000000000,0x204361b827d91be917a6ebf55043d9be89036fb9,5265,0x30ea2b84323869868fd537ef27ad9f62799f54f9473ff4043886b160611741f8,0.2,1639341981,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792595,0x0000000000000000000000000000000000000000,0x204361b827d91be917a6ebf55043d9be89036fb9,5266,0x30ea2b84323869868fd537ef27ad9f62799f54f9473ff4043886b160611741f8,0.2,1639341981,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792598,0x750a61d71277431cd4a9c2e137600ea7a1f91398,0xe8f37093e86e2e5cc56a58e6045af19878169fc2,5111,0xa34e494cbc36c8a619cfd08bd3123b777cd72c1e6b0a9b4ded1b353d2ed6a3fd,0.176,1639342014,731.07,0.176,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792719,0x7dd27e97ac36e7dc89c9f95f480e878e53514a9a,0x7f9b282bba723077b7dfdb30c8bc8a2c28761759,5240,0x2f9d92bef5b43d946942aa3a226564f2e66df1dff49dd0290567e4f9448cb718,0.179,1639343499,742.15,0.179,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792725,0x43c21cc46637ae611d2b3beead90a73ae56362b3,0x590d0b3bd1fe15d35f798e5a228a03b0d1585eca,4389,0x8ef3ec3bb3f60d6de4e022b58ff43d38d51ea9efa85b3a0c644d422bb0c3419f,0.179,1639343628,742.15,0.179,Opensea,0
